name;type;content;alignment
<AG_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<AG_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<AG_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<AG_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<AG_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<AG_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<AG_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<AG_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<AG_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<AG_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
