speaker	sentence	frequency	syntax	VA	dur_VA	abs1_VA	abs1_VA_dur	abs2_VA	abs2_VA_dur	abs3_VA	abs3_VA_dur	AN	dur_AN	abs1_AN	abs1_AN_dur	abs2_AN	abs2_AN_dur	abs3_AN	abs3_AN_dur	verb	V_freq	noun	N_freq	V_A_freq	A_N_freq	ratio_BI	dummy
Sp2	Sn113	ff	aa	ropped_f	0,759	R-V-ORh	0,407	IM1-RP	0,177	A-On	0,174	lat_p	0,321	A-ORh	0,192	IM2-R	0,053	N-Cl	0,076	dropped	Vf	plants	Nf	VA_med	AN_med	r_med	XXX
Sp2	Sn114	fi	aa	ropped_f	0,782	R-V-ORh	0,416	IM1-RP	0,302	A-On	0,064	lat_p	0,321	A-ORh	0,207	IM2-R	0,028	N-Cl	0,086	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp2	Sn115	if	aa	ropped_f	0,828	R-V-ORh	0,376	IM1-RP	0,273	A-On	0,179	lat_p	0,269	A-ONu	0,098	YY	YY	YY	YY	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp2	Sn116	ii	aa	ropped_f	0,699	R-V-ORh	0,358	IM1-RP	0,173	A-On	0,168	lat_p	0,25	A-ONu	0,107	YY	YY	YY	YY	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp3	Sn113	ff	aa	ropped_f	0,763	R-V-ORh	0,405	IM1-RP	0,19	A-On	0,167	lat_p	0,335	A-ORh	0,208	IM2-R	0,043	N-Cl	0,085	dropped	Vf	plants	Nf	VA_med	AN_med	r_med	XXX
Sp3	Sn114	fi	aa	ropped_f	0,599	R-V-ORh	0,339	IM1-RP	0,104	A-On	0,156	lat_p	0,308	A-ORh	0,194	IM2-R	0,034	N-Cl	0,079	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp3	Sn115	if	aa	ropped_f	0,557	R-V-ORh	0,316	YY	YY	YY	YY	lat_p	0,281	A-ORh	0,175	IM2-R	0,031	N-Cl	0,076	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp3	Sn116	ii	aa	ropped_f	0,551	R-V-ORh	0,309	IM1-RP	0,105	A-On	0,137	lat_p	0,292	A-ORh	0,185	IM2-R	0,03	N-Cl	0,077	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp3	Sn117	ff	aa	uys_g	0,457	R-V-Rh	0,387	YY	YY	A-Cl	0,07	reen_p	0,314	R-A-ORh	0,247	YY	YY	N-Cl	0,067	buys	Vf	paper	Nf	VA_high	AN_high	r_AN_high	XXX
Sp3	Sn118	fi	aa	uys_g	0,594	R-V-Rh	0,502	YY	YY	A-Cl	0,092	reen_p	0,285	R-A-ORh	0,22	YY	YY	N-Cl	0,065	buys	Vf	paisley	Ni	VA_high	AN_high	r_med	XXX
