speaker	sentence	frequency	syntax	VA	dur_VA	abs1_VA	abs1_VA_dur	abs2_VA	abs2_VA_dur	abs3_VA	abs3_VA_dur	AN	dur_AN	abs1_AN	abs1_AN_dur	abs2_AN	abs2_AN_dur	abs3_AN	abs3_AN_dur	verb	V_freq	noun	N_freq	V_A_freq	A_N_freq	ratio_BI	dummy
Sp10	Sn131	if	bb	k_c	0.134	YY	0.060	YY	0.040	YY	0.034	lean_f	0.626	R-A-ORh	0.446	IM2-P	0.141	?N-On	0.100	rake	Vi	fields	Nf	VA_med	AN_high	r_AN_high	XXX
Sp17	Sn130	fi	aa	?ke_c	0.164	V-Co	0.100	IM1-R	0.030	A-Cl	0.034	lean_f	0.326	R-A-ORh	0.196	YY	YY	N-On	0.130	make	Vf	fiefs	Ni	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn170	ii	bb	k_f	0.220	V-Co	0.100	YY	YY	YY	0.120	ree_p	0.477	A-ORh	0.340	YY	YY	N-Cl	0.047	stalk	Vi	peafowls	Ni	VA_low	AN_low	r_VA_high	XXX
Sp16	Sn156	fi	aa	urned_sm	0.710	R-V-Rh	0.490	IM1-R(P)?	0.011	A-On	0.220	ooth_b	0.250	A-Rh	0.180	YY	YY	?N-Cl	0.030	turned	Vf	baulks	Ni	VA_low	AN_low	r_VA_high	XXX
Sp16	Sn146	ii	aa	layed_d	0.547	V-ORh	0.450	IM1-R	0.050	A-Cl	0.047	ead_f	0.303	R-A-Rh	0.183	IM2-R?	0.032	N-On	0.120	slayed	Vi	fiends	Ni	VA_low	AN_med	r_AN_high	XXX
Sp3	Sn124	ii	aa	d_c	0.164	V-Co	0.120	IM1-R	0.028	A-Cl	0.044	losed_d	0.479	R-A-ORh	0.446	IM2-R	0.044	N-Cl	0.033	walled	Vi	dorms	Ni	VA_low	AN_low	r_VA_high	XXX
Sp20	Sn125	ff	aa	ade(+rel)	0.300	V-Rh	0.300	IM1-R(P)	0.092	YY	YY	d_p	0.148	A-Co	0.100	IM2-R	0.026	N-Cl	0.048	made	Vf	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp6	Sn141	ii	bb	ayed	0.195	R-V-Rh	0.195	IM1-R	0.017	YY	YY	k_s	0.420	A-Co	0.210	IM2-RP	0.050	N-On	0.160	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp17	Sn161	if	aa	th	0.130	YY	YY	YY	YY	A-On	0.130	in_f	0.260	A-Rh	0.140	YY	YY	N-On	0.120	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp17	Sn151	if	aa	l	0.090	YY	YY	YY	YY	A-On	0.090	oose_b	0.254	A-Rh	0.210	YY	YY	N-Cl	0.044	snakes	Vi	boxes	Nf	VA_med	AN_high	r_AN_high	XXX
Sp10	Sn140	if	bb	ayed	0.205	R-V-Rh	0.205	IM1-R	0.011	YY	YY	k_s	0.410	A-Co	0.210	IM2-RP	0.050	?N-On	0.150	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp17	Sn141	ii	bb	ayed(+rel)	0.210	R-V-Rh	0.210	IM1-R?	0.009	YY	YY	k_s	0.220	A-Co	0.090	IM2-R(P)?	0.029	N-On	0.130	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp20	Sn121	ff	aa	d_c	0.197	V-Co	0.110	IM1-R	0.050	A-Cl	0.037	losed_d	0.404	YY	0.373	YY	YY	YY	0.031	called	Vf	doors	Nf	VA_med	AN_high	r_AN_high	XXX
Sp10	Sn150	fi	bb	l	0.090	YY	YY	YY	YY	A-On	0.090	oose_b?	0.745	A-Rh?	0.310	YY	YY	YY	0.005	shake	Vf	bobbers	Ni	VA_high	AN_low	r_VA_high	XXX
Sp15	Sn139	if	bb	ayed	0.220	R-V-Rh	0.220	IM1-R	0.013	YY	YY	k_s	0.200	A-Co	0.080	IM2-R(P)?	0.021	N-On	0.120	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp16	Sn130	fi	aa	ke_c	0.288	V-Co?	0.210	YY	0.030	YY	0.048	lean_f	0.432	R-A-ORh	0.302	YY	YY	N-On	0.130	make	Vf	fiefs	Ni	VA_high	AN_low	r_VA_high	XXX
Sp20	Sn126	fi	aa	ade(+rel)	0.280	V-Rh	0.280	IM1-R(P)	0.017	YY	YY	d_p	0.172	A-Co	0.130	IM2-R	0.004	N-Cl	0.042	made	Vf	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp6	Sn161	if	aa	?th	0.120	YY	YY	YY	YY	A-On	0.120	in_f	0.260	A-Rh	0.140	YY	YY	N-On	0.120	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp16	Sn155	ff	aa	urned_sm	0.660	R-V-Rh	0.450	IM1-R(P)	0.009	A-On	0.210	ooth_b	0.275	A-Rh	0.230	YY	YY	N-Cl	0.045	turned	Vf	balls	Nf	VA_low	AN_high	r_AN_high	XXX
Sp16	Sn145	if	aa	layed_d	0.504	V-ORh	0.430	IM1-R	0.030	A-Cl	0.044	ead_f	0.296	R-A-Rh	0.186	IM2-R?	0.036	N-On	0.110	slayed	Vi	fish	Nf	VA_low	AN_high	r_AN_high	XXX
Sp16	Sn161	if	aa	th+IM	0.040	YY	YY	YY	YY	YY	0.040	in_f	0.280	A-Rh	0.160	YY	YY	N-On	0.120	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp18	Sn121	ff	aa	d_c	0.099	V-Co	0.080	IM1-R	0.019	A-Cl	0.019	losed_d	0.421	YY	0.391	YY	YY	YY	0.030	called	Vf	doors	Nf	VA_med	AN_high	r_AN_high	XXX
Sp16	Sn141	ii	bb	ayed	0.395	R-V-Rh	0.395	IM1-R	0.102	YY	YY	k_s	0.220	A-Co	0.090	IM2-R(P)	0.023	N-On	0.130	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp6	Sn129	ff	aa	k_c	0.260	V-Co	0.190	IM1-R	0.040	A-Cl	0.030	lean_f	0.380	R-A-ORh	0.260	YY	YY	N-On	0.120	make	Vf	fields	Nf	VA_high	AN_high	r_VA_high	XXX
Sp10	Sn149	ff	bb	l	0.110	YY	YY	YY	YY	A-On	0.110	oose_b	0.366	A-Rh	0.320	YY	YY	YY	0.016	shake	Vf	boxes	Nf	VA_high	AN_high	r_med	XXX
Sp5	Sn128	ii	aa	ade	0.320	V-Rh	0.320	IM1-RP	0.095	YY	YY	d_p	0.134	A-Co	0.100	IM2-R	0.009	N-Cl	0.034	shade	Vi	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp20	Sn127	if	aa	ade(+rel)	0.450	YY	0.390	YY	0.060	YY	YY	d_p	0.181	YY	0.120	YY	YY	YY	0.061	shade	Vi	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp3	Sn114	fi	aa	ropped_f	0.592	R-V-ORh	0.382	IM1-RP	0.050	A-On	0.160	lat_p	0.314	A-ORh	0.270	IM2-R	0.034	N-Cl	0.044	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp3	Sn115	if	aa	ropped_f	0.510	R-V-ORh	0.300	YY	YY	YY	0.210	lat_p	0.298	A-ORh	0.250	IM2-R	0.031	N-Cl	0.048	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp6	Sn139	if	bb	ayed	0.180	R-V-Rh	0.180	IM1-R	0.017	YY	YY	k_s	0.450	A-Co	0.210	IM2-RP	0.090	N-On	0.150	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp10	Sn137	ff	bb	ayed	0.200	R-V-Rh	0.200	YY	YY	YY	YY	k_s 	0.380	A-Co	0.040	IM2-RP	0.210	N-On	0.130	stayed	Vf	sisters	Nf	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn168	fi	bb	k_f	0.240	V-Co	0.120	YY	YY	YY	0.120	ree_p	0.480	A-ORh	0.370	YY	YY	N-Cl	0.040	walk	Vf	peafowls	Ni	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn158	ii	aa	urned_sm	0.550	V-Rh	0.330	IM1-R(P)?	0.01	A-On	0.220	ooth_b	0.250	A-Rh	0.170	YY	YY	N-Cl	0.030	turned	Vf	baulks	Ni	VA_low	AN_low	r_VA_high	XXX
Sp3	Sn116	ii	aa	ropped_f	0.506	R-V-ORh	0.316	IM1-RP	0.030	A-On	0.160	lat_p	0.300	A-ORh	0.260	IM2-R	0.03	N-Cl	0.040	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp17	Sn139	if	bb	ayed(+rel)	0.200	R-V-Rh	0.200	IM1-R?	0.012	YY	YY	k_s	0.370	A-Co	0.180	IM2-RP	0.030	N-On	0.160	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp10	Sn138	fi	bb	ayed	0.210	R-V-Rh	0.210	YY	YY	YY	YY	k_s	0.470	A-Co	0.210	IM2-RP	0.110	N-On	0.150	stayed	Vf	sissies	Ni	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn167	ff	bb	k_f	0.240	V-Co	0.110	YY	YY	YY	0.130	ree_p	0.405	A-ORh	0.290	YY	YY	N-Cl	0.115	walk	Vf	people	Nf	VA_high	AN_high	r_AN_high	XXX
Sp15	Sn141	ii	bb	ayed	0.200	R-V-Rh	0.200	YY	YY	YY	YY	k_s	0.190	A-Co	0.090	IM2-R(P)	0.046	N-On	0.100	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp15	Sn161	if	aa	th+IM	0.140	YY	YY	YY	YY	YY	0.140	in_f	0.240	A-Rh	0.130	YY	YY	YY	0.110	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp16	Sn157	if	aa	urned_sm	0.590	V-Rh	0.340	IM1-R(P)?	0.006	A-On	0.250	ooth_b	0.290	A-Rh	0.200	YY	YY	N-Cl	0.040	churned	Vi	balls	Nf	VA_low	AN_high	r_AN_high	XXX
SP10	Sn142	ii	bb	ayed	0.195	R-V-Rh	0.195	IM1-R?	0.018	YY	YY	k_s	0.490	A-Co	0.190	IM1-RP	0.160	N-On	0.140	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp3	Sn160	fi	aa	th	0.190	YY	YY	YY	YY	A-On	0.190	in_f	0.320	A-Rh	0.150	YY	YY	N-On	0.170	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp5	Sn161	if	aa	th	0.160	YY	YY	IM1-P	0.284	A-On	0.160	in_f	0.270	A-Rh	0.180	YY	YY	N-On	0.090	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp3	Sn162	ii	aa	th	0.200	YY	YY	YY	YY	A-On	0.200	in_f	0.280	A-Rh	0.130	YY	YY	N-On	0.150	pare	Vi	farthings	Ni	VA_low	AN_low	r_VA_high	XXX
Sp6	Sn138	fi	bb	ayed	0.190	?R-V-Rh	0.190	YY	YY	YY	YY	k_s	0.430	A-Co	0.210	IM2-RP	0.060	N-On	0.160	stayed	Vf	sissies	Ni	VA_high	AN_low	r_VA_high	XXX
Sp20	Sn128	ii	aa	ade(+rel)	0.530	V-Rh	0.430	IM1-RP	0.100	YY	YY	d_p	0.147	YY	0.100	YY	YY	YY	0.047	shade	Vi	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp3	Sn150	fi	aa	l	0.120	YY	YY	YY	YY	A-On	0.120	oose_b	0.235	A-Rh	0.230	YY	YY	N-Cl	0.005	shake	Vf	bobbers	Ni	VA_high	AN_low	r_VA_high	XXX
Sp3	Sn152	ii	aa	l	0.170	YY	YY	YY	YY	A-On	0.170	oose_b	0.315	A-Rh	0.280	YY	YY	N-Cl	0.035	snakes	Vi	bobbers	Ni	VA_med	AN_low	r_VA_high	XXX
Sp16	Sn139	if	bb	ayed	0.250	R-V-Rh	0.250	IM1-R	0.015	YY	YY	k_s	0.240	A-Co	0.110	IM2-R(P)	0.024	N-On	0.130	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp5	Sn151	if	bb	l	0.080	YY	YY	YY	YY	A-On	0.080	oose_b	0.417	A-Rh	0.370	YY	YY	N-Cl	0.047	snakes	Vi	boxes	Nf	VA_med	AN_high	r_AN_high	XXX
Sp17	Sn137	ff	bb	ayed(+rel)	0.180	YY	0.180	YY	YY	YY	YY	k_s	0.240	A-Co	0.120	IM2-R(P)	0.026	N-On	0.120	stayed	Vf	sisters	Nf	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn115	if	aa	ropped_f	0.430	R-V-ORh	0.300	YY	YY	YY	0.130	lat_p	0.341	A-ORh	0.300	IM2-R	0.064	N-Cl	0.041	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp20	Sn113	ff	aa	ropped_f	0.486	R-V-ORh	0.346	YY	YY	YY	0.140	lat_p	0.339	A-ONu	0.180	YY	0.110	YY	0.049	dropped	Vf	plants	Nf	VA_med	AN_med	r_med	XXX
