filename	word	word_index	point_index	f0_value
RS1_B1_S1_U1.TextGrid	OR	first		1	189.9365539209426
RS1_B1_S1_U1.TextGrid	OR	first		2	198.69026754861602
RS1_B1_S1_U1.TextGrid	OR	first		3	216.08857558507333
RS1_B1_S1_U1.TextGrid	OR	first		4	209.08176517532374
RS1_B1_S1_U1.TextGrid	ALLA_AH	second		1	225.06651459173736
RS1_B1_S1_U1.TextGrid	ALLA_AH	second		2	235.44182250138076
RS1_B1_S1_U1.TextGrid	ALLA_AH	second		3	258.75873807972084
RS1_B1_S1_U1.TextGrid	ALLA_AH	second		4	249.20007183386397
RS1_B1_S1_U1.TextGrid	NA_Y	third		1	244.27925094811718
RS1_B1_S1_U1.TextGrid	NA_Y	third		2	256.60830932131825
RS1_B1_S1_U1.TextGrid	NA_Y	third		3	264.26153024076046
RS1_B1_S1_U1.TextGrid	NA_Y	third		4	251.3054729497723
RS1_B1_S1_U1.TextGrid	UN	fourth		1	--undefined--
RS1_B1_S1_U1.TextGrid	UN	fourth		2	193.60027583086523
RS1_B1_S1_U1.TextGrid	UN	fourth		3	194.89108093552244
RS1_B1_S1_U1.TextGrid	UN	fourth		4	178.59099301607222
RS1_B1_S1_U1.TextGrid	PAR	fifth		1	--undefined--
RS1_B1_S1_U1.TextGrid	PAR	fifth		2	--undefined--
RS1_B1_S1_U1.TextGrid	PAR	fifth		3	195.2189749874846
RS1_B1_S1_U1.TextGrid	PAR	fifth		4	194.44397997655778
RS1_B1_S1_U1.TextGrid	KO_O_I_I	sixth		1	--undefined--
RS1_B1_S1_U1.TextGrid	KO_O_I_I	sixth		2	--undefined--
RS1_B1_S1_U1.TextGrid	KO_O_I_I	sixth		3	232.15562540186409
RS1_B1_S1_U1.TextGrid	KO_O_I_I	sixth		4	255.72788855490285
RS1_B1_S1_U1.TextGrid	ZULM	seventh		1	246.70388965968542
RS1_B1_S1_U1.TextGrid	ZULM	seventh		2	186.0477761448846
RS1_B1_S1_U1.TextGrid	ZULM	seventh		3	143.9615876873327
RS1_B1_S1_U1.TextGrid	ZULM	seventh		4	--undefined--
RS1_B1_S1_U1.TextGrid	NAHI_I_N	eighth		1	--undefined--
RS1_B1_S1_U1.TextGrid	NAHI_I_N	eighth		2	162.89309155459569
RS1_B1_S1_U1.TextGrid	NAHI_I_N	eighth		3	173.45109707544265
RS1_B1_S1_U1.TextGrid	NAHI_I_N	eighth		4	187.91960375678448
RS1_B1_S1_U1.TextGrid	KIA_A	ninth		1	--undefined--
RS1_B1_S1_U1.TextGrid	KIA_A	ninth		2	--undefined--
RS1_B1_S1_U1.TextGrid	KIA_A	ninth		3	149.92218910494506
RS1_B1_S1_U1.TextGrid	KIA_A	ninth		4	--undefined--
RS1_B1_S2_U1.TextGrid	MA_Y_N	first		1	181.14073450150497
RS1_B1_S2_U1.TextGrid	MA_Y_N	first		2	218.14135225651648
RS1_B1_S2_U1.TextGrid	MA_Y_N	first		3	225.6226261439655
RS1_B1_S2_U1.TextGrid	MA_Y_N	first		4	--undefined--
RS1_B1_S2_U1.TextGrid	BA_E_H_A_AN	second		1	--undefined--
RS1_B1_S2_U1.TextGrid	BA_E_H_A_AN	second		2	186.90495992174914
RS1_B1_S2_U1.TextGrid	BA_E_H_A_AN	second		3	203.59272061899267
RS1_B1_S2_U1.TextGrid	BA_E_H_A_AN	second		4	236.1804499658298
RS1_B1_S2_U1.TextGrid	KI_IA_Y	third		1	135.83424452165053
RS1_B1_S2_U1.TextGrid	KI_IA_Y	third		2	--undefined--
RS1_B1_S2_U1.TextGrid	KI_IA_Y	third		3	170.99804981160307
RS1_B1_S2_U1.TextGrid	KI_IA_Y	third		4	140.44508389247392
RS1_B1_S2_U1.TextGrid	GA_A_Y	fourth		1	126.58820727346155
RS1_B1_S2_U1.TextGrid	GA_A_Y	fourth		2	157.90953582842212
