filename	utterance	'point_index	f0_value
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		1	290.64658224821943
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		2	279.9893690041565
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		3	278.9099535957774
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		4	252.80970518695628
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		5	232.09898668167511
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		6	250.49249357110352
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		7	236.98899888020648
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		8	253.68429687166784
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		9	249.0829611344992
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		10	244.01750102918297
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		11	229.16381323804734
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		12	265.6694788800053
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		13	285.48661115740606
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		14	--undefined--
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		15	260.14256114987205
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		16	248.87137273922713
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		17	--undefined--
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		18	221.43153957746773
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		19	207.8363465973275
ExpBase_Sp10_S1_Alt_F_U1.TextGrid	tum pani  pio gi ya kofi		20	--undefined--
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		1	--undefined--
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		2	274.00893653435867
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		3	277.78240334076906
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		4	267.9045322479892
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		5	246.19404354933442
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		6	244.0580890582804
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		7	282.1810314542776
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		8	--undefined--
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		9	279.50484433717287
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		10	267.0925905187875
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		11	243.00349066989025
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		12	279.4830491678828
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		13	303.4987676121321
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		14	290.91227415607136
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		15	303.1209859318507
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		16	245.4542860120495
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		17	--undefined--
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		18	202.1192685618923
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		19	172.67354850858263
ExpBase_Sp10_S1_Alt_F_U2.TextGrid	tum pani  pio gi ya kofi		20	--undefined--
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		1	--undefined--
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		2	267.88455357620273
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		3	278.0747084786707
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		4	269.57362359305415
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		5	256.50464738521316
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		6	235.2459470560208
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		7	223.64958031257777
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		8	231.18762960449587
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		9	237.26488220118253
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		10	--undefined--
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		11	233.5085732305552
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		12	234.86809793884652
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		13	261.19747801012994
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		14	296.44129156854564
ExpBase_Sp10_S1_Polar_F_U1.TextGrid	tum pani  pio gi		15	297.0813116209929
