filename	tone	syllable	f0	
RS1_B1_S1_U1.TextGrid	%L	OR	194.4171572521124
RS1_B1_S1_U1.TextGrid	H*	ALLA_AH	238.29957884869827
RS1_B1_S1_U1.TextGrid	H-	PAU	--undefined--
RS1_B1_S1_U1.TextGrid	L*	UN	194.78046079059465
RS1_B1_S1_U1.TextGrid	L-	PAU	189.95690651413295
RS1_B1_S1_U1.TextGrid	H*	KO_O_I_I	237.25927222752415
RS1_B1_S1_U1.TextGrid	L*	ZULM	172.5424606945138
RS1_B1_S1_U1.TextGrid	L-	PAU	--undefined--
RS1_B1_S1_U1.TextGrid	H*	NAHI_I_N	202.80692846803822
RS1_B1_S1_U1.TextGrid	L-L%	SIL	--undefined--
RS1_B1_S2_U1.TextGrid	%L	MA_Y_N	197.95916045191402
RS1_B1_S2_U1.TextGrid	H-	PAU	--undefined--
RS1_B1_S2_U1.TextGrid	L*+H	BA_E_H_A_AN	198.52387737248802
RS1_B1_S2_U1.TextGrid	L*+H	GA_A_Y	148.9356465505187
RS1_B1_S2_U1.TextGrid	L-L%	SIL	--undefined--
RS1_B1_S3_U1.TextGrid	%L	MA_YRA_Y	--undefined--
RS1_B1_S3_U1.TextGrid	H*	MA_YRA_Y	247.76064898458444
RS1_B1_S3_U1.TextGrid	H*	HO_OS_H	233.62386505923277
RS1_B1_S3_U1.TextGrid	+^H	O_O	302.6251059205137
RS1_B1_S3_U1.TextGrid	L*	HAVA_AS	178.17330803762312
RS1_B1_S3_U1.TextGrid	L-	PAU	--undefined--
RS1_B1_S3_U1.TextGrid	L+H*	D_ZAVA_AB	194.56149847880906
RS1_B1_S3_U1.TextGrid	L+	RAHA_Y	154.20136460368826
RS1_B1_S3_U1.TextGrid	H*	RAHA_Y	182.32957477327287
RS1_B1_S3_U1.TextGrid	L-L%	SIL	--undefined--
RS1_B1_S4_U1.TextGrid	%L	D_ZA_AO_O	207.22738399395854
RS1_B1_S4_U1.TextGrid	L*	D_ZA_AO_O	150.89485385280673
RS1_B1_S4_U1.TextGrid	L-H%	PAU	--undefined--
RS1_B1_S4_U1.TextGrid	L*	ALLA_AH	202.51806746696164
RS1_B1_S4_U1.TextGrid	+H	ALLA_AH	251.85088971994574
RS1_B1_S4_U1.TextGrid	H-	PAU	--undefined--
RS1_B1_S4_U1.TextGrid	L*	AMA_AN	180.75145219945233
RS1_B1_S4_U1.TextGrid	+H	AMA_AN	192.79805605154593
RS1_B1_S4_U1.TextGrid	L-L%	SIL	--undefined--
RS1_B1_S5_U1.TextGrid	%L	JA_Y	--undefined--
RS1_B1_S5_U1.TextGrid	H*	JA_Y	265.25913605664476
RS1_B1_S5_U1.TextGrid	H-	PAU	267.6422432376418
RS1_B1_S5_U1.TextGrid	L+	AD_ZI_IB	185.53168494777188
RS1_B1_S5_U1.TextGrid	H*	AD_ZI_IB	249.46011311284113
RS1_B1_S5_U1.TextGrid	L*+H	SA_AXT_D	195.0763286334701
RS1_B1_S5_U1.TextGrid	L-L%	SIL	--undefined--
RS1_B1_S6_U1.TextGrid	%L	IS	--undefined--
RS1_B1_S6_U1.TextGrid	H*	IS	288.73040232265424
RS1_B1_S6_U1.TextGrid		BA_AB	--undefined--
